Date,Close
"Dec 04, 2019",0.216348
"Dec 03, 2019",0.219870
"Dec 02, 2019",0.219581
"Dec 01, 2019",0.225333
"Nov 30, 2019",0.226474
"Nov 29, 2019",0.230217
"Nov 28, 2019",0.224570
"Nov 27, 2019",0.225081
"Nov 26, 2019",0.222145
"Nov 25, 2019",0.218622
"Nov 24, 2019",0.223184
"Nov 23, 2019",0.236188
"Nov 22, 2019",0.231600
"Nov 21, 2019",0.243766
"Nov 20, 2019",0.251364
"Nov 19, 2019",0.256500
"Nov 18, 2019",0.255653
"Nov 17, 2019",0.265253
"Nov 16, 2019",0.263886
"Nov 15, 2019",0.261654
"Nov 14, 2019",0.270391
"Nov 13, 2019",0.273036
"Nov 12, 2019",0.272418
"Nov 11, 2019",0.275086
"Nov 10, 2019",0.280204
"Nov 09, 2019",0.280196
"Nov 08, 2019",0.276953
"Nov 07, 2019",0.292431
"Nov 06, 2019",0.310086
"Nov 05, 2019",0.301255
"Nov 04, 2019",0.299937
"Nov 03, 2019",0.291261
"Nov 02, 2019",0.296263
"Nov 01, 2019",0.292642
"Oct 31, 2019",0.296358
"Oct 30, 2019",0.296555
"Oct 29, 2019",0.301956
"Oct 28, 2019",0.296007
"Oct 27, 2019",0.298100
"Oct 26, 2019",0.293699
"Oct 25, 2019",0.298165
"Oct 24, 2019",0.278491
"Oct 23, 2019",0.274143
"Oct 22, 2019",0.291607
"Oct 21, 2019",0.292979
"Oct 20, 2019",0.294179
"Oct 19, 2019",0.293022
"Oct 18, 2019",0.295005
"Oct 17, 2019",0.302315
"Oct 16, 2019",0.284640
"Oct 15, 2019",0.288702
"Oct 14, 2019",0.296523
"Oct 13, 2019",0.277765
"Oct 12, 2019",0.273191
"Oct 11, 2019",0.271099
"Oct 10, 2019",0.272073
"Oct 09, 2019",0.281627
"Oct 08, 2019",0.278459
"Oct 07, 2019",0.275685
"Oct 06, 2019",0.257705
"Oct 05, 2019",0.253457
"Oct 04, 2019",0.253935
"Oct 03, 2019",0.247860
"Oct 02, 2019",0.253539
"Oct 01, 2019",0.249565
"Sep 30, 2019",0.255933
"Sep 29, 2019",0.241388
"Sep 28, 2019",0.242571
"Sep 27, 2019",0.244021
"Sep 26, 2019",0.243784
"Sep 25, 2019",0.246441
"Sep 24, 2019",0.235226
"Sep 23, 2019",0.268675
"Sep 22, 2019",0.278931
"Sep 21, 2019",0.289443
"Sep 20, 2019",0.294470
"Sep 19, 2019",0.302441
"Sep 18, 2019",0.313776
"Sep 17, 2019",0.285013
"Sep 16, 2019",0.260952
"Sep 15, 2019",0.261628
"Sep 14, 2019",0.261167
"Sep 13, 2019",0.255551
"Sep 12, 2019",0.254811
"Sep 11, 2019",0.255956
"Sep 10, 2019",0.258671
"Sep 09, 2019",0.259562
"Sep 08, 2019",0.263084
"Sep 07, 2019",0.260687
"Sep 06, 2019",0.252340
"Sep 05, 2019",0.256346
"Sep 04, 2019",0.259905
"Sep 03, 2019",0.263139
"Sep 02, 2019",0.260820
"Sep 01, 2019",0.258054
"Aug 31, 2019",0.259204
"Aug 30, 2019",0.256218
"Aug 29, 2019",0.257045
"Aug 28, 2019",0.257450
"Aug 27, 2019",0.269618
"Aug 26, 2019",0.270788
"Aug 25, 2019",0.270088
"Aug 24, 2019",0.272553
"Aug 23, 2019",0.276545
"Aug 22, 2019",0.270944
"Aug 21, 2019",0.266261
"Aug 20, 2019",0.275806
"Aug 19, 2019",0.283328
"Aug 18, 2019",0.282646
"Aug 17, 2019",0.265721
"Aug 16, 2019",0.261971
"Aug 15, 2019",0.264882
"Aug 14, 2019",0.263343
"Aug 13, 2019",0.296639
"Aug 12, 2019",0.300322
"Aug 11, 2019",0.301915
"Aug 10, 2019",0.298721
"Aug 09, 2019",0.297343
