Date,Close
"Dec 04, 2019",45.19
"Dec 03, 2019",45.38
"Dec 02, 2019",45.82
"Dec 01, 2019",47.71
"Nov 30, 2019",47.48
"Nov 29, 2019",48.88
"Nov 28, 2019",47.06
"Nov 27, 2019",48.01
"Nov 26, 2019",47.27
"Nov 25, 2019",45.83
"Nov 24, 2019",44.73
"Nov 23, 2019",48.71
"Nov 22, 2019",47.62
"Nov 21, 2019",50.88
"Nov 20, 2019",55.29
"Nov 19, 2019",55.62
"Nov 18, 2019",56.80
"Nov 17, 2019",59.57
"Nov 16, 2019",58.57
"Nov 15, 2019",57.81
"Nov 14, 2019",59.43
"Nov 13, 2019",61.11
"Nov 12, 2019",61.34
"Nov 11, 2019",61.90
"Nov 10, 2019",63.84
"Nov 09, 2019",61.95
"Nov 08, 2019",60.53
"Nov 07, 2019",61.84
"Nov 06, 2019",64.27
"Nov 05, 2019",63.30
"Nov 04, 2019",61.57
"Nov 03, 2019",58.63
"Nov 02, 2019",58.60
"Nov 01, 2019",58.58
"Oct 31, 2019",58.78
"Oct 30, 2019",58.42
"Oct 29, 2019",59.87
"Oct 28, 2019",58.13
"Oct 27, 2019",59.91
"Oct 26, 2019",56.78
"Oct 25, 2019",56.94
"Oct 24, 2019",50.07
"Oct 23, 2019",49.63
"Oct 22, 2019",53.74
"Oct 21, 2019",54.94
"Oct 20, 2019",54.93
"Oct 19, 2019",54.03
"Oct 18, 2019",53.49
"Oct 17, 2019",54.88
"Oct 16, 2019",52.92
"Oct 15, 2019",54.94
"Oct 14, 2019",56.98
"Oct 13, 2019",56.71
"Oct 12, 2019",55.98
"Oct 11, 2019",56.30
"Oct 10, 2019",57.78
"Oct 09, 2019",59.43
"Oct 08, 2019",57.40
"Oct 07, 2019",57.79
"Oct 06, 2019",55.41
"Oct 05, 2019",56.84
"Oct 04, 2019",56.85
"Oct 03, 2019",56.55
"Oct 02, 2019",56.51
"Oct 01, 2019",56.06
"Sep 30, 2019",56.06
"Sep 29, 2019",54.32
"Sep 28, 2019",55.68
"Sep 27, 2019",56.36
"Sep 26, 2019",55.54
"Sep 25, 2019",57.66
"Sep 24, 2019",55.82
"Sep 23, 2019",66.85
"Sep 22, 2019",72.62
"Sep 21, 2019",73.52
"Sep 20, 2019",75.15
"Sep 19, 2019",77.06
"Sep 18, 2019",77.97
"Sep 17, 2019",74.22
"Sep 16, 2019",72.57
"Sep 15, 2019",70.32
"Sep 14, 2019",70.56
"Sep 13, 2019",68.99
"Sep 12, 2019",69.23
"Sep 11, 2019",69.92
"Sep 10, 2019",70.82
"Sep 09, 2019",70.19
"Sep 08, 2019",70.55
"Sep 07, 2019",69.04
"Sep 06, 2019",65.23
"Sep 05, 2019",65.40
"Sep 04, 2019",67.29
"Sep 03, 2019",69.13
"Sep 02, 2019",66.94
"Sep 01, 2019",66.14
"Aug 31, 2019",64.58
"Aug 30, 2019",64.33
"Aug 29, 2019",64.10
"Aug 28, 2019",67.43
"Aug 27, 2019",72.84
"Aug 26, 2019",73.86
"Aug 25, 2019",72.31
"Aug 24, 2019",73.46
"Aug 23, 2019",75.40
"Aug 22, 2019",73.60
"Aug 21, 2019",72.96
"Aug 20, 2019",75.20
"Aug 19, 2019",77.26
"Aug 18, 2019",76.27
"Aug 17, 2019",72.80
"Aug 16, 2019",74.92
"Aug 15, 2019",76.39
"Aug 14, 2019",76.06
"Aug 13, 2019",84.41
"Aug 12, 2019",85.75
"Aug 11, 2019",89.75
